sourcePort,destinationPort,protocolName,IPgeo,IP Region,deviceId,event_category,categoryDescription,eventDescription,relevance,credibility,severity,magnitude,Event_DateTime,eventCount,IP
57733,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:55 PM",1,10.128.2.1
57729,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:56 PM",1,10.128.2.1
57727,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:55 PM",1,10.130.2.1
57673,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:56 PM",1,10.128.2.1
57672,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:46 PM",1,10.128.2.1
57539,80,tcp_ip,United States,R1,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:48 PM",1,10.130.2.1
57505,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:55 PM",1,10.130.2.1
57493,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:55 PM",1,10.130.2.1
57474,443,tcp_ip,United States,R1,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:54 PM",1,10.131.2.1
57467,443,tcp_ip,United States,R1,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:45 PM",1,10.131.2.1
57466,443,tcp_ip,United States,R1,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:55 PM",1,10.131.2.1
57465,443,tcp_ip,United States,R1,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:53 PM",1,10.129.2.1
57147,443,tcp_ip,United States,R1,32415,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 7:26:45 PM",1,10.129.2.1
56995,443,tcp_ip,United States,R1,32415,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 7:26:45 PM",1,10.128.2.1
56876,443,tcp_ip,United States,R1,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:45 PM",1,10.128.2.1
56689,443,tcp_ip,United States,R1,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:45 PM",1,10.128.2.1
56685,443,tcp_ip,United States,R1,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:54 PM",1,10.128.2.1
56211,443,tcp_ip,United States,R1,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:45 PM",1,10.128.2.1
56178,443,tcp_ip,United States,R1,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:51 PM",1,10.128.2.1
56177,443,tcp_ip,United States,R1,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:45 PM",1,10.128.2.1
56090,443,tcp_ip,United States,R1,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:50 PM",1,10.128.2.1
56068,443,tcp_ip,United States,R1,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:49 PM",1,10.129.2.1
56062,443,tcp_ip,United States,R1,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:48 PM",1,10.129.2.1
55945,443,tcp_ip,United States,R1,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:45 PM",1,10.129.2.1
55906,443,tcp_ip,United States,R1,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:45 PM",1,10.129.2.1
55697,53,udp_ip,United States,R1,30096,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.129.2.1
55608,80,tcp_ip,United States,R1,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:46 PM",1,10.129.2.1
55607,443,tcp_ip,United States,R1,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:48 PM",1,10.129.2.1
55600,443,tcp_ip,United States,R1,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:54 PM",1,10.130.2.1
